College_ID,Academic Program Name,Quota,Special Quota,Seat Type,Gender,Round,Opening Rank,Closing Rank
24,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,,EWS (PwD),Gender-Neutral,1,78,78
25,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,155,155
26,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),1,114,114
26,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,131,131
26,"Information Technology (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,48,48
27,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,250,250
28,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,57,57
28,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,96,96
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,98,98
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,20,20
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),1,60,60
29,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,258,258
29,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,125,125
30,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,149,149
30,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,173,173
30,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,135,135
31,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,116,116
31,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,88,88
31,"Production Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,180,180
32,"Bio Technology (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Female-only (including Supernumerary),1,246,246
32,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,144,144
32,"Chemistry (5 Years, Integrated Master of Science)",OS,,EWS (PwD),Gender-Neutral,1,196,196
32,"Civil Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,38,38
32,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,17,17
32,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,64,64
33,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,222,222
34,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,245,245
34,"Civil Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,224,224
34,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,158,158
34,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,22,22
34,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,174,174
35,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,179,179
35,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,102,102
35,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,1,127,127
35,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,1,82,82
36,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,,EWS (PwD),Gender-Neutral,1,85,85
37,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,159,159
38,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,197,197
39,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,247,247
40,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,184,184
41,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,146,146
